Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3router,den-ob1-qualfon-n1,Ethernet1,network_port,,,True
l3router,den-ob1-qualfon-n1,Ethernet2,network_port,,,True
l3router,den-ob1-qualfon-n1,Ethernet3,network_port,,,True
l3router,den-ob1-qualfon-n1,Ethernet4,network_port,,,True
l3router,den-ob1-qualfon-n1,Ethernet5,network_port,,,True
l3router,den-ob1-qualfon-n1,Ethernet6,network_port,,,True
l3router,den-ob1-qualfon-n1,Ethernet7,network_port,,,True
l3router,den-ob1-qualfon-n1,Ethernet8,network_port,,,True
l3router,den-ob1-qualfon-n1,Ethernet9,network_port,,,True
l3router,den-ob1-qualfon-n1,Ethernet10,network_port,,,True
l3router,den-ob1-qualfon-n1,Ethernet11,network_port,,,True
l3router,den-ob1-qualfon-n1,Ethernet12,network_port,,,True
l3router,den-ob1-qualfon-n1,Ethernet13,router,DEN-TRX1-QUALFON-PE1,Ethernet4/1,True
l3router,den-ob1-qualfon-n1,Ethernet14,router,DEN-TRX1-QUALFON-PE2,Ethernet4/1,True
l3router,den-ob1-qualfon-n1,Port-Channel11,l3_interface,,,True
l3router,den-ob1-qualfon-n1,Port-Channel12,l3_interface,,,True
l3router,den-ob1-ttech-n1,Ethernet1,network_port,,,True
l3router,den-ob1-ttech-n1,Ethernet2,network_port,,,True
l3router,den-ob1-ttech-n1,Ethernet3,network_port,,,True
l3router,den-ob1-ttech-n1,Ethernet4,network_port,,,True
l3router,den-ob1-ttech-n1,Ethernet5,network_port,,,True
l3router,den-ob1-ttech-n1,Ethernet6,network_port,,,True
l3router,den-ob1-ttech-n1,Ethernet7,network_port,,,True
l3router,den-ob1-ttech-n1,Ethernet8,network_port,,,True
l3router,den-ob1-ttech-n1,Ethernet9,network_port,,,True
l3router,den-ob1-ttech-n1,Ethernet10,network_port,,,True
l3router,den-ob1-ttech-n1,Ethernet11,network_port,,,True
l3router,den-ob1-ttech-n1,Ethernet12,network_port,,,True
l3router,den-ob1-ttech-n1,Ethernet13,router,DEN-TRX1-TTECH-PE1,Ethernet4/1,True
l3router,den-ob1-ttech-n1,Ethernet14,router,DEN-TRX1-TTECH-PE2,Ethernet4/1,True
l3router,den-ob1-ttech-n1,Port-Channel11,l3_interface,,,True
l3router,den-ob1-ttech-n1,Port-Channel12,l3_interface,,,True
l3router,dfw-ob1-foundever-n1,Ethernet1,network_port,,,True
l3router,dfw-ob1-foundever-n1,Ethernet2,network_port,,,True
l3router,dfw-ob1-foundever-n1,Ethernet3,network_port,,,True
l3router,dfw-ob1-foundever-n1,Ethernet4,network_port,,,True
l3router,dfw-ob1-foundever-n1,Ethernet5,network_port,,,True
l3router,dfw-ob1-foundever-n1,Ethernet6,network_port,,,True
l3router,dfw-ob1-foundever-n1,Ethernet7,network_port,,,True
l3router,dfw-ob1-foundever-n1,Ethernet8,network_port,,,True
l3router,dfw-ob1-foundever-n1,Ethernet9,network_port,,,True
l3router,dfw-ob1-foundever-n1,Ethernet10,network_port,,,True
l3router,dfw-ob1-foundever-n1,Ethernet11,network_port,,,True
l3router,dfw-ob1-foundever-n1,Ethernet12,network_port,,,True
l3router,dfw-ob1-foundever-n1,Ethernet13,router,DFW-TRX1-FOUNDEVER-PE1,Ethernet4/1,True
l3router,dfw-ob1-foundever-n1,Ethernet14,router,DFW-TRX1-FOUNDEVER-PE2,Ethernet4/1,True
l3router,dfw-ob1-foundever-n1,Port-Channel11,l3_interface,,,True
l3router,dfw-ob1-foundever-n1,Port-Channel12,l3_interface,,,True
l3router,dfw-ob1-telepf-n1,Ethernet1,network_port,,,True
l3router,dfw-ob1-telepf-n1,Ethernet2,network_port,,,True
l3router,dfw-ob1-telepf-n1,Ethernet3,network_port,,,True
l3router,dfw-ob1-telepf-n1,Ethernet4,network_port,,,True
l3router,dfw-ob1-telepf-n1,Ethernet5,network_port,,,True
l3router,dfw-ob1-telepf-n1,Ethernet6,network_port,,,True
l3router,dfw-ob1-telepf-n1,Ethernet7,network_port,,,True
l3router,dfw-ob1-telepf-n1,Ethernet8,network_port,,,True
l3router,dfw-ob1-telepf-n1,Ethernet9,network_port,,,True
l3router,dfw-ob1-telepf-n1,Ethernet10,network_port,,,True
l3router,dfw-ob1-telepf-n1,Ethernet11,network_port,,,True
l3router,dfw-ob1-telepf-n1,Ethernet12,network_port,,,True
l3router,dfw-ob1-telepf-n1,Ethernet13,router,DFW-TRX1-TELEPF-PE1,Ethernet4/1,True
l3router,dfw-ob1-telepf-n1,Ethernet14,router,DFW-TRX1-TELEPF-PE2,Ethernet4/1,True
l3router,dfw-ob1-telepf-n1,Port-Channel11,l3_interface,,,True
l3router,dfw-ob1-telepf-n1,Port-Channel12,l3_interface,,,True
l3router,dtw-ob1-qualfon-n1,Ethernet1,network_port,,,True
l3router,dtw-ob1-qualfon-n1,Ethernet2,network_port,,,True
l3router,dtw-ob1-qualfon-n1,Ethernet3,network_port,,,True
l3router,dtw-ob1-qualfon-n1,Ethernet4,network_port,,,True
l3router,dtw-ob1-qualfon-n1,Ethernet5,network_port,,,True
l3router,dtw-ob1-qualfon-n1,Ethernet6,network_port,,,True
l3router,dtw-ob1-qualfon-n1,Ethernet7,network_port,,,True
l3router,dtw-ob1-qualfon-n1,Ethernet8,network_port,,,True
l3router,dtw-ob1-qualfon-n1,Ethernet9,network_port,,,True
l3router,dtw-ob1-qualfon-n1,Ethernet10,network_port,,,True
l3router,dtw-ob1-qualfon-n1,Ethernet11,network_port,,,True
l3router,dtw-ob1-qualfon-n1,Ethernet12,network_port,,,True
l3router,dtw-ob1-qualfon-n1,Port-Channel11,l3_interface,,,True
l3router,dtw-ob1-qualfon-n1,Port-Channel12,l3_interface,,,True
l3router,mco-ob1-concentrix-n1,Ethernet1,network_port,,,True
l3router,mco-ob1-concentrix-n1,Ethernet2,network_port,,,True
l3router,mco-ob1-concentrix-n1,Ethernet3,network_port,,,True
l3router,mco-ob1-concentrix-n1,Ethernet4,network_port,,,True
l3router,mco-ob1-concentrix-n1,Ethernet5,network_port,,,True
l3router,mco-ob1-concentrix-n1,Ethernet6,network_port,,,True
l3router,mco-ob1-concentrix-n1,Ethernet7,network_port,,,True
l3router,mco-ob1-concentrix-n1,Ethernet8,network_port,,,True
l3router,mco-ob1-concentrix-n1,Ethernet9,network_port,,,True
l3router,mco-ob1-concentrix-n1,Ethernet10,network_port,,,True
l3router,mco-ob1-concentrix-n1,Ethernet11,network_port,,,True
l3router,mco-ob1-concentrix-n1,Ethernet12,network_port,,,True
l3router,mco-ob1-concentrix-n1,Ethernet13,router,MCO-TRX1-CONCENTRIX-PE1,Ethernet4/1,True
l3router,mco-ob1-concentrix-n1,Ethernet14,router,MCO-TRX1-CONCENTRIX-PE2,Ethernet4/1,True
l3router,mco-ob1-concentrix-n1,Port-Channel11,l3_interface,,,True
l3router,mco-ob1-concentrix-n1,Port-Channel12,l3_interface,,,True
